sid,is_bias,accuracy_cal_flip,kappa_cal_flip,itr_cal_flip,left_recall_cal_flip,right_recall_cal_flip
1,True,0.575,0.15,0.2172,0.47,0.68
2,False,0.55,0.1,0.0963,0.37,0.73
3,False,0.67,0.34,1.1343,0.34,1.0
4,False,0.64,0.28,0.7642,0.29,0.99
5,True,0.715,0.43,1.8377,0.46,0.97
6,False,0.725,0.45,2.0194,0.49,0.96
7,True,0.595833,0.191667,0.3555,0.483333,0.708333
8,False,0.625,0.25,0.6075,0.46,0.79
9,False,0.683333,0.366667,1.3237,0.466667,0.9
10,False,0.76,0.52,2.7328,0.53,0.99
11,True,0.675,0.35,1.2035,0.48,0.87
12,True,0.675,0.35,1.2035,0.38,0.97
13,False,0.635,0.27,0.7099,0.55,0.72
14,False,0.765,0.53,2.845,0.53,1.0
15,True,0.72,0.44,1.9273,0.5,0.94
16,False,0.625,0.25,0.6075,0.44,0.81
17,False,0.565,0.13,0.163,0.51,0.62
18,False,0.66,0.32,1.0024,0.48,0.84
19,False,0.75,0.5,2.5163,0.56,0.94
20,False,0.7,0.4,1.5828,0.47,0.93
21,False,0.7,0.4,1.5828,0.48,0.92
22,False,0.725,0.45,2.0194,0.46,0.99
23,False,0.75,0.5,2.5163,0.5,1.0
24,True,0.695,0.39,1.5024,0.48,0.91
25,False,0.71,0.42,1.7504,0.5,0.92
26,False,0.72,0.44,1.9273,0.47,0.97
27,False,0.62,0.24,0.5594,0.51,0.73
28,False,0.515,0.03,0.0087,0.36,0.67
29,False,0.74,0.48,2.31,0.51,0.97
30,False,0.69,0.38,1.4244,0.45,0.93
31,False,0.67,0.34,1.1343,0.49,0.85
32,False,0.61,0.22,0.4693,0.53,0.69
33,False,0.645,0.29,0.8206,0.48,0.81
34,True,0.715,0.43,1.8377,0.48,0.95
35,False,0.64,0.28,0.7642,0.55,0.73
36,True,0.615,0.23,0.5134,0.49,0.74
37,False,0.625,0.25,0.6075,0.52,0.73
38,False,0.66,0.32,1.0024,0.52,0.8
39,False,0.615,0.23,0.5134,0.41,0.82
40,False,0.53,0.06,0.0346,0.46,0.6
41,False,0.73,0.46,2.1138,0.46,1.0
42,False,0.63,0.26,0.6577,0.41,0.85
43,False,0.75,0.5,2.5163,0.5,1.0
44,False,0.675,0.35,1.2035,0.43,0.92
45,False,0.675,0.35,1.2035,0.46,0.89
46,False,0.633333,0.266667,0.6923,0.5,0.766667
47,False,0.645,0.29,0.8206,0.47,0.82
48,False,0.735,0.47,2.2107,0.47,1.0
49,False,0.6,0.2,0.3873,0.44,0.76
50,False,0.7,0.4,1.5828,0.45,0.95
51,False,0.57,0.14,0.1891,0.5,0.64
52,False,0.63,0.26,0.6577,0.5,0.76
