sid,is_bias_subject,bias_value,accuracy_before,kappa_before,left_recall_before,right_recall_before,accuracy_after,kappa_after,left_recall_after,right_recall_after
1,True,0.103431,0.63,0.26,0.4,0.86,0.645,0.29,0.47,0.82
2,False,-0.325658,0.625,0.25,0.64,0.61,0.625,0.25,0.64,0.61
3,False,-3.335147,0.97,0.94,0.97,0.97,0.97,0.94,0.97,0.97
4,False,-1.482831,0.89,0.78,0.9,0.88,0.89,0.78,0.9,0.88
5,True,0.027689,0.715,0.43,0.46,0.97,0.725,0.45,0.48,0.97
6,False,-1.727699,0.84,0.68,0.88,0.8,0.84,0.68,0.88,0.8
7,True,0.23181,0.620833,0.241667,0.416667,0.825,0.604167,0.208333,0.533333,0.675
8,False,0.027326,0.66,0.32,0.55,0.77,0.66,0.32,0.56,0.76
9,False,-0.422932,0.783333,0.566667,0.691667,0.875,0.783333,0.566667,0.691667,0.875
10,False,-1.135189,0.85,0.7,0.85,0.85,0.85,0.7,0.85,0.85
11,True,0.043374,0.69,0.38,0.52,0.86,0.7,0.4,0.56,0.84
12,True,0.058586,0.655,0.31,0.46,0.85,0.665,0.33,0.48,0.85
13,False,-0.31576,0.69,0.38,0.67,0.71,0.69,0.38,0.67,0.71
14,False,-1.34674,0.965,0.93,0.96,0.97,0.965,0.93,0.96,0.97
15,True,-0.131561,0.78,0.56,0.62,0.94,0.78,0.56,0.62,0.94
16,False,-0.73854,0.72,0.44,0.82,0.62,0.72,0.44,0.82,0.62
17,False,-0.292136,0.585,0.17,0.69,0.48,0.585,0.17,0.69,0.48
18,False,-0.20567,0.735,0.47,0.68,0.79,0.735,0.47,0.68,0.79
19,False,-0.499511,0.85,0.7,0.8,0.9,0.85,0.7,0.8,0.9
20,False,-0.626826,0.855,0.71,0.87,0.84,0.855,0.71,0.87,0.84
21,False,-1.085552,0.78,0.56,0.77,0.79,0.78,0.56,0.77,0.79
22,False,-0.924273,0.81,0.62,0.66,0.96,0.81,0.62,0.66,0.96
23,False,-2.922647,0.895,0.79,0.96,0.83,0.895,0.79,0.96,0.83
24,True,-0.095654,0.725,0.45,0.51,0.94,0.725,0.45,0.51,0.94
25,False,-0.029541,0.725,0.45,0.58,0.87,0.725,0.45,0.58,0.87
26,False,-0.472372,0.75,0.5,0.71,0.79,0.75,0.5,0.71,0.79
27,False,-0.189593,0.615,0.23,0.59,0.64,0.615,0.23,0.59,0.64
28,False,0.085395,0.53,0.06,0.37,0.69,0.56,0.12,0.53,0.59
29,False,-1.08615,0.895,0.79,0.87,0.92,0.895,0.79,0.87,0.92
30,False,-0.55711,0.82,0.64,0.84,0.8,0.82,0.64,0.84,0.8
31,False,-0.110825,0.725,0.45,0.66,0.79,0.725,0.45,0.66,0.79
32,False,0.290139,0.58,0.16,0.46,0.7,0.565,0.13,0.63,0.5
33,False,-0.369553,0.73,0.46,0.71,0.75,0.73,0.46,0.71,0.75
34,True,-0.112227,0.76,0.52,0.58,0.94,0.76,0.52,0.58,0.94
35,False,0.378623,0.645,0.29,0.56,0.73,0.595,0.19,0.59,0.6
36,True,0.54579,0.66,0.32,0.46,0.86,0.655,0.31,0.54,0.77
37,False,-0.241916,0.66,0.32,0.68,0.64,0.66,0.32,0.68,0.64
38,False,-0.015983,0.69,0.38,0.6,0.78,0.69,0.38,0.6,0.78
39,False,-0.555084,0.695,0.39,0.72,0.67,0.695,0.39,0.72,0.67
40,False,-0.102775,0.55,0.1,0.63,0.47,0.55,0.1,0.63,0.47
41,False,-1.742906,0.935,0.87,0.92,0.95,0.935,0.87,0.92,0.95
42,False,-0.412204,0.69,0.38,0.72,0.66,0.69,0.38,0.72,0.66
43,False,-2.989257,0.985,0.97,1.0,0.97,0.985,0.97,1.0,0.97
44,False,-0.426031,0.775,0.55,0.69,0.86,0.775,0.55,0.69,0.86
45,False,-0.027764,0.665,0.33,0.57,0.76,0.665,0.33,0.57,0.76
46,False,-0.286422,0.733333,0.466667,0.741667,0.725,0.733333,0.466667,0.741667,0.725
47,False,-0.724233,0.725,0.45,0.7,0.75,0.725,0.45,0.7,0.75
48,False,-2.204214,0.935,0.87,0.94,0.93,0.935,0.87,0.94,0.93
49,False,-0.11508,0.67,0.34,0.58,0.76,0.67,0.34,0.58,0.76
50,False,-1.010628,0.795,0.59,0.78,0.81,0.795,0.59,0.78,0.81
51,False,-0.03251,0.68,0.36,0.65,0.71,0.68,0.36,0.65,0.71
52,False,-0.122128,0.635,0.27,0.5,0.77,0.635,0.27,0.5,0.77
